
P:13, from:(-4,-1), to:(-4,3) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:BISHOP
P:4, from:(0,-5), to:(-4,3) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:9, from:(4,1), to:(3,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:1, from:(2,1), to:(3,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:13, from:(-2,-1), to:(-4,-1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:5, from:(-1,-4), to:(0,-3) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:BISHOP
P:14, from:(1,4), to:(0,4) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:ROOK
P:3, from:(-3,4), to:(0,4) -- e:False c:True o:False -- p:False type:ZERO -- cap:True top:False type:BISHOP
P:12, from:(4,-5), to:(0,-3) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:BISHOP
P:3, from:(-3,-2), to:(-3,4) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:12, from:(0,3), to:(4,-5) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:1, from:(1,1), to:(2,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:13, from:(0,-1), to:(-2,-1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:1, from:(0,1), to:(1,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:13, from:(-2,1), to:(0,-1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:1, from:(-1,1), to:(0,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:13, from:(4,-2), to:(-2,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:1, from:(-3,1), to:(-2,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:True top:False type:PAWN
P:9, from:(-2,3), to:(-2,1) -- e:True c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:1, from:(-1,-1), to:(-1,1) -- e:True c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:10, from:(2,3), to:(3,0) -- e:False c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:6, from:(1,-5), to:(1,-4) -- e:False c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:13, from:(-4,2), to:(4,-2) -- e:False c:True o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:1, from:(-3,0), to:(-3,1) -- e:False c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:13, from:(-1,5), to:(-4,2) -- e:False c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:1, from:(-3,-1), to:(-3,0) -- e:False c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
P:9, from:(-4,5), to:(-4,3) -- e:True c:False o:False -- p:False type:ZERO -- cap:False top:False type:ZERO
